3523	Housing	TRUE	
5320	Shelter and Homeless Resources	TRUE	checked
5321	Utility Assistance	TRUE	
3493	Food	TRUE	checked
5322	Physical Health	TRUE	checked
5566	Mental Wellness	TRUE	checked
5323	Substance Abuse	TRUE	checked
5324	Legal Assistance	TRUE	checked
5325	Employment Assistance	TRUE	
5326	Financial Assistance and Public Benefits	TRUE	checked
5328	Military and Veteran Resources	TRUE	
5327	Senior Resources	TRUE	
5329	Child and Youth Resources	TRUE	
5506	Accessibility and Independent Living	TRUE	
5330	OTHER SPECIALIZED RESOURCE PORTALS	TRUE	
3524	Alameda County Housing Choices	3523	
5335	Housing Resources for People Living with HIV	3523	
5543	Low Cost Home Rental Listings	3523	
5544	Senior Housing Information and Referral	3523	
5545	Housing Issues and Counseling	3523	
5546	Residential Housing Options	3523	
5547	Extreme Weather Shelters	5320	checked
5548	Domestic Violence Shelters	5320	checked
5550	Homeless Shelter	5320	checked
5551	Transitional Housing/Shelter	5320	checked
5552	Personal/Grooming Supplies	5320	checked
5553	Laundry Facilities	5320	checked
5554	Temporary Mailing Address	5320	checked
5555	Mobile Healthcare	5320	
5559	Utility Bill Payment Plans	5321	
5560	Discounted Utility Services	5321	
3521	WIC	3493	checked
3522	Food Stamps/SNAP Applications	3493	checked
5556	Food Pantries	3493	checked
5557	Brown Bag Food Programs	3493	checked
5567	Outpatient Health Facilities	5322	checked
5568	Health Care Discount Enrollment Programs	5322	checked
5569	Medical Care Expense Assistance	5322	checked
5570	Hospitals	5322	checked
5571	Community Clinics	5322	checked
5572	Physician Referral	5322	checked
5587	Domestic Violence Hotlines	5322	checked
5672	Pregnant Women	5322	
6005	Resources for People Living with HIV	5322	
5573	Crisis Counseling	5566	checked
5574	General Crisis Intervention Hotlines	5566	checked
5575	Suicide Prevention Crisis Intervention Hotlines	5566	checked
5576	Human Trafficking Crisis Intervention Hotlines	5566	checked
5577	Adult Rape Survivors	5566	checked
5578	Mental Health Evaluation	5566	checked
5579	Psychiatric Disorders	5566	checked
5580	Adult Psychiatric Hospitals	5566	checked
5581	Mental Health Evaluation for Children	5566	
5582	Geriatric Mental Illness Counseling	5566	
5583	Outpatient Behavioral Health Facilities	5566	checked
5584	Mutual Support Groups	5566	checked
5585	Domestic Violence Support Groups	5566	checked
5586	Domestic Violence Hotlines	5566	checked
5588	General Bereavement Support Groups	5566	checked
